Name,G,AV,QBrec,Cmp%,Yds,Y/A,TD,Int,FantPt
Dan Marino,242,216,147-93-0,59.4,61361,7.3,420,252,3594.5
Patrick Mahomes,63,75,50-13-0,66.1,18991,8.1,151,37,1450.6
Peyton Manning,266,271,186-79-0,65.3,71940,7.7,539,251,4686.3
Matthew Stafford,182,148,86-95-1,63.0,49995,7.3,323,161,3137.7
Drew Bledsoe,194,139,98-95-0,57.2,44611,6.6,251,206,2412.0
Jameis Winston,83,64,33-44-0,61.2,20982,7.7,135,91,1353.8
Cam Newton,148,140,75-68-1,59.9,32382,7.2,194,123,2827.1
Fran Tarkenton,246,233,124-109-6,57.0,47003,7.3,342,266,3190.2
Brett Favre,302,259,186-112-0,62.0,71838,7.1,508,336,4371.2
Jared Goff,83,63,45-37-1,64.1,21416,7.3,126,63,1306.8
Deshaun Watson,54,55,28-25-0,67.8,14539,8.3,104,36,1189.9
Josh Allen,61,54,39-21-0,62.3,14114,7.1,103,46,1294.4
Blake Bortles,78,48,24-49-0,59.3,17649,6.7,103,75,1177.3
Derek Carr,127,88,57-70-0,65.0,31700,7.1,193,85,1927.5
Andrew Luck,86,80,53-33-0,60.8,23671,7.2,171,83,1686.2
Ben Roethlisberger,249,208,165-81-1,64.4,64088,7.6,418,211,4019.5
Joe Namath,140,115,62-63-4,50.1,27663,7.4,173,220,1387.5
Dak Prescott,85,77,53-32-0,66.6,22083,7.6,143,50,1626.5
Matt Ryan,222,203,120-102-0,65.5,59735,7.5,367,170,3676.8
Baker Mayfield,60,45,29-30-0,61.6,14125,7.3,92,56,897.8
Daunte Culpepper,105,98,41-59-0,63.0,24153,7.6,149,106,1765.4
Steve Grogan,149,117,75-60-0,52.3,26886,7.5,182,208,1741.9
Lamar Jackson,58,62,37-12-0,64.1,9967,7.5,84,31,1146.0
Johnny Unitas,211,145,118-63-4,54.6,40239,7.8,290,253,2424.4
John Hadl,224,146,82-75-9,50.4,33503,7.1,244,268,1913.4
Jay Cutler,153,109,74-79-0,62.0,35133,7.1,227,160,2165.5
Drew Brees,287,277,172-114-0,67.7,80358,7.6,571,243,5185.0
Andy Dalton,152,108,77-69-2,62.2,35279,7.0,226,135,2283.3
Joe Flacco,178,121,98-78-0,61.7,41269,6.8,227,144,2417.8
Josh Freeman,62,40,25-36-0,57.6,13873,6.8,81,68,849.2
Neil Lomax,108,82,47-52-2,57.6,22771,7.2,136,90,1369.8
Randall Cunningham,161,137,82-52-1,56.6,29979,7.0,207,134,2381.3
Bob Griese,161,138,92-56-3,56.2,25092,7.3,192,172,1517.1
George Ratterman,92,,9-8-1,52.8,10473,7.5,91,96,670.8
Marcus Mariota,74,49,29-32-0,62.8,13437,7.5,77,45,981.0
Bernie Kosar,126,79,53-54-1,59.3,23301,6.9,124,87,1258.1
Norm Snead,178,114,52-100-7,52.3,30797,7.1,196,257,1631.9
Tommy Kramer,129,84,54-56-0,55.1,24777,6.8,159,158,1361.6
Bobby Layne,175,21,80-48-4,49.0,26768,7.2,196,243,1818.8
Russell Wilson,158,158,104-53-1,65.0,37059,7.8,292,87,3059.3
Bert Jones,102,92,47-49-0,56.1,18190,7.1,124,101,1232.6
Donovan McNabb,167,138,98-62-1,59.0,37276,6.9,234,117,2636.2
Chris Miller,98,60,34-58-0,54.6,19320,6.7,123,102,1112.3
Michael Vick,143,112,61-51-1,56.2,22464,7.0,133,88,2001.5
Boomer Esiason,187,137,80-93-0,57.0,37920,7.3,247,184,2235.7
Kyler Murray,46,46,22-23-1,66.9,11480,7.3,70,34,964.5
Carson Wentz,85,63,44-40-1,62.6,20374,6.8,140,57,1419.7
Ken Anderson,192,160,91-81-0,59.3,32838,7.3,197,160,2071.6
Tom Brady,318,316,243-73-0,64.2,84520,7.5,624,203,5671.7
Justin Herbert,32,31,15-17-0,66.2,9350,7.4,69,25,713.6
Mark Sanchez,79,35,37-36-0,56.6,15357,6.6,86,89,861.9
Jeff Blake,119,81,39-61-0,56.4,21711,6.7,134,99,1438.4
John Elway,234,206,148-82-1,56.9,51475,7.1,300,226,3220.6
Milt Plum,129,59,56-41-6,54.0,17536,7.2,122,127,1068.6
Charley Johnson,165,100,59-57-8,51.2,24410,7.2,170,181,1352.4
Tim Couch,62,33,22-37-0,59.8,11131,6.5,64,67,609.6
Mitchell Trubisky,57,35,29-21-0,64.1,10652,6.7,64,38,762.1
Doug Williams,88,63,38-42-1,49.5,16998,6.8,100,93,1031.2
Ryan Tannehill,133,101,72-59-0,64.2,30729,7.3,199,102,2125.2
Aaron Brooks,93,73,38-52-0,56.5,20261,6.8,123,92,1310.0
Sam Bradford,83,49,34-48-1,62.5,19449,6.6,103,61,1084.6
Trent Dilfer,130,60,58-55-0,55.5,20518,6.5,113,129,1069.5
Aaron Rodgers,213,218,139-66-1,65.3,55360,7.8,449,93,4330.4
Y.A. Tittle,204,47,78-50-5,55.2,33070,7.5,242,248,2097.8
Brian Griese,93,62,45-38-0,62.7,19440,7.0,119,99,1109.1
Ken O'Brien,129,87,50-59-1,58.6,25094,7.0,128,98,1289.8
